neighbourhood_group,count,mean,median,std
Bronx,1063,86.88805268109125,68.0,78.0825151345989
Brooklyn,19904,118.49889469453376,91.0,94.39599476326734
Manhattan,21452,179.16790975200448,149.5,133.8549098049459
Queens,5604,95.63526052819415,75.0,74.53449860164736
Staten Island,366,99.6584699453552,75.0,96.34990895408639
